"110年10月 1506 正道             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","444,007","4,551,420","10.25","10.40","10.10","10.15","-0.10","165",
"110/10/04","170,013","1,693,786","9.91","10.05","9.90","9.92","-0.23","75",
"110/10/05","111,025","1,084,886","9.82","10.00","9.51","10.00","+0.08","58",
"110/10/06","31,000","304,730","9.87","9.98","9.80","9.84","-0.16","24",
"110/10/07","89,219","887,847","9.95","10.00","9.87","9.93","+0.09","51",
"110/10/08","204,004","2,059,398","10.00","10.20","9.94","10.05","+0.12","83",
"110/10/12","111,378","1,113,585","10.05","10.10","9.97","10.00","-0.05","55",
"110/10/13","214,002","2,136,529","10.10","10.10","9.95","9.96","-0.04","80",
"110/10/14","143,498","1,442,270","10.00","10.10","9.96","10.05","+0.09","61",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
