"110年10月 1513 中興電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","24,165,307","1,175,046,576","49.05","49.95","46.50","46.50","-2.25","12,213",
"110/10/04","5,580,750","260,980,839","47.15","47.50","46.20","46.40","-0.10","3,331",
"110/10/05","3,617,749","167,710,132","46.35","46.90","45.70","46.20","-0.20","2,236",
"110/10/06","9,341,723","442,999,220","47.45","48.10","46.50","46.50","+0.30","5,034",
"110/10/07","4,062,582","192,305,912","46.80","47.80","46.70","47.80","+1.30","2,370",
"110/10/08","3,520,001","166,361,558","47.80","47.90","46.90","46.90","-0.90","1,937",
"110/10/12","2,615,461","121,574,870","46.90","46.95","46.10","46.25","-0.65","1,345",
"110/10/13","2,443,760","112,106,213","46.70","46.70","45.65","45.85","-0.40","1,484",
"110/10/14","2,317,546","105,367,506","46.30","46.30","45.10","45.40","-0.45","1,600",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
