"110年10月 1519 華城             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","3,932,242","155,920,229","39.60","40.50","38.05","38.10","-1.15","2,422",
"110/10/04","1,015,499","38,222,079","38.50","38.80","36.90","37.05","-1.05","812",
"110/10/05","652,505","24,117,027","36.60","37.35","36.15","37.00","-0.05","417",
"110/10/06","947,100","35,483,742","37.50","38.00","37.00","37.00"," 0.00","677",
"110/10/07","398,174","14,843,478","37.70","37.70","37.10","37.10","+0.10","283",
"110/10/08","532,222","19,577,800","37.50","37.50","36.50","36.70","-0.40","415",
"110/10/12","514,612","18,606,652","36.70","36.70","36.00","36.05","-0.65","378",
"110/10/13","823,176","29,125,614","35.60","35.90","35.10","35.30","-0.75","689",
"110/10/14","508,705","17,774,175","35.60","35.75","34.65","34.90","-0.40","439",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
