"110年10月 1530 亞崴             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","22,706","773,239","34.00","34.25","33.55","33.85","-0.35","34",
"110/10/04","79,265","2,644,617","33.75","33.80","33.00","33.05","-0.80","62",
"110/10/05","71,512","2,332,484","32.85","32.85","32.50","32.70","-0.35","64",
"110/10/06","63,986","2,063,750","32.70","32.70","31.90","31.90","-0.80","71",
"110/10/07","28,382","931,500","32.90","33.00","32.65","32.65","+0.75","28",
"110/10/08","66,565","2,182,210","32.90","33.00","32.15","32.90","+0.25","46",
"110/10/12","20,110","654,880","32.35","32.90","32.35","32.90"," 0.00","15",
"110/10/13","37,056","1,225,454","32.90","33.35","32.90","33.20","+0.30","23",
"110/10/14","10,000","330,150","33.00","33.15","33.00","33.15","-0.05","9",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
