"110年10月 1537 廣隆             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","142,402","19,674,977","138.50","139.00","137.50","137.50","-1.00","163",
"110/10/04","180,707","24,799,858","137.50","138.00","137.00","137.50"," 0.00","210",
"110/10/05","68,396","9,381,213","137.50","137.50","137.00","137.50"," 0.00","94",
"110/10/06","99,475","13,717,383","138.00","138.50","137.50","137.50"," 0.00","115",
"110/10/07","138,185","19,090,824","137.50","138.50","137.50","137.50"," 0.00","171",
"110/10/08","53,522","7,400,975","138.50","138.50","138.00","138.50","+1.00","92",
"110/10/12","135,756","18,711,383","138.00","138.50","137.50","137.50","-1.00","167",
"110/10/13","86,413","11,890,084","138.50","138.50","137.50","138.00","+0.50","102",
"110/10/14","54,084","7,475,232","138.00","138.50","138.00","138.00"," 0.00","68",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
