"110年10月 1538 正峰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","0","0","--","--","--","--"," 0.00","0",
"110/10/04","1","10","--","--","--","--"," 0.00","1",
"110/10/05","5,445","52,001","9.51","9.60","9.51","9.60","X0.00","9",
"110/10/06","33","318","--","--","--","--"," 0.00","6",
"110/10/07","263","2,546","--","--","--","--"," 0.00","7",
"110/10/08","8,001","78,309","9.80","9.80","9.75","9.80","X0.00","5",
"110/10/12","22,402","219,804","9.80","9.97","9.80","9.97","+0.17","12",
"110/10/13","14,206","145,490","10.30","10.30","9.92","9.92","-0.05","13",
"110/10/14","7,284","72,461","9.61","10.30","9.61","10.30","+0.38","6",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
