"110年10月 1558 伸興             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","142,735","20,760,776","146.00","146.00","145.00","145.00","-1.50","214",
"110/10/04","180,251","25,949,744","145.50","145.50","143.00","143.50","-1.50","254",
"110/10/05","102,838","14,691,690","143.00","143.50","142.00","143.00","-0.50","164",
"110/10/06","64,855","9,291,591","143.00","143.50","143.00","143.00"," 0.00","98",
"110/10/07","142,916","20,645,758","143.00","145.50","143.00","145.50","+2.50","175",
"110/10/08","139,391","20,191,597","145.50","145.50","144.00","144.50","-1.00","167",
"110/10/12","92,574","13,311,808","145.00","145.00","143.00","143.50","-1.00","166",
"110/10/13","117,732","16,819,682","144.00","144.00","142.00","143.00","-0.50","168",
"110/10/14","56,700","8,144,938","144.00","144.00","143.00","144.00","+1.00","76",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
