"110年10月 1560 中砂             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,045,793","143,079,444","72.00","72.00","68.80","69.40","-2.70","1,492",
"110/10/04","1,480,672","100,780,655","69.50","70.00","67.20","67.20","-2.20","1,049",
"110/10/05","1,300,827","87,554,450","67.20","69.10","65.60","69.10","+1.90","873",
"110/10/06","994,865","67,781,043","68.70","69.10","66.90","67.20","-1.90","772",
"110/10/07","1,058,451","72,646,366","68.20","69.30","67.60","68.60","+1.40","799",
"110/10/08","530,402","36,279,600","68.80","69.20","67.70","67.70","-0.90","493",
"110/10/12","618,815","41,397,491","67.70","67.70","66.40","67.00","-0.70","424",
"110/10/13","679,691","45,473,023","67.60","67.70","66.20","66.50","-0.50","455",
"110/10/14","791,155","52,444,273","66.80","67.20","65.40","67.20","+0.70","558",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
