"110年10月 2049 上銀             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,975,258","876,288,254","306.50","306.50","289.50","289.50","-20.00","3,392",
"110/10/04","1,825,546","525,217,803","291.00","294.50","283.00","283.50","-6.00","1,921",
"110/10/05","2,133,823","598,354,433","279.00","285.00","276.00","284.50","+1.00","2,118",
"110/10/06","1,534,192","437,537,253","287.00","294.00","282.50","284.50"," 0.00","1,490",
"110/10/07","2,003,133","594,692,440","290.00","302.50","290.00","296.50","+12.00","2,070",
"110/10/08","768,234","229,904,654","297.00","302.00","295.00","298.50","+2.00","1,351",
"110/10/12","1,102,484","325,830,963","292.50","300.00","291.50","296.50","-2.00","954",
"110/10/13","943,445","280,946,679","300.00","303.00","294.50","296.00","-0.50","979",
"110/10/14","984,373","298,825,468","299.00","308.00","299.00","302.50","+6.50","1,423",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
