"110年10月 4555 氣立             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","47,027","2,565,295","55.50","55.50","53.30","53.30","-1.30","49",
"110/10/04","79,053","4,105,539","53.00","53.10","51.00","52.20","-1.10","66",
"110/10/05","52,740","2,715,759","51.60","52.20","50.70","51.50","-0.70","52",
"110/10/06","37,000","1,930,200","51.30","53.00","51.30","52.40","+0.90","33",
"110/10/07","6,000","319,000","53.80","53.80","53.00","53.00","+0.60","6",
"110/10/08","171,021","9,286,415","54.60","54.80","53.30","53.80","+0.80","38",
"110/10/12","27,000","1,464,300","54.80","54.80","53.50","53.90","+0.10","25",
"110/10/13","37,000","1,975,900","54.00","54.00","52.80","52.80","-1.10","26",
"110/10/14","12,030","639,402","53.90","53.90","52.70","52.90","+0.10","10",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
