"110年10月 2376 技嘉             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","5,568,760","478,392,888","86.00","87.30","85.00","86.00","-0.80","3,621",
"110/10/04","3,458,240","296,513,624","86.50","87.30","84.80","84.80","-1.20","2,590",
"110/10/05","4,983,538","418,998,977","84.00","85.10","83.00","84.90","+0.10","3,569",
"110/10/06","4,494,542","379,568,993","85.60","86.00","83.20","83.50","-1.40","3,264",
"110/10/07","9,146,051","832,581,305","87.30","91.80","87.30","91.80","+8.30","5,046",
"110/10/08","57,272,170","5,623,228,400","94.30","100.50","93.50","100.50","+8.70","28,738",
"110/10/12","74,338,783","7,753,316,109","102.00","108.00","100.50","105.00","+4.50","39,434",
"110/10/13","37,624,227","3,977,196,545","106.00","107.50","103.50","107.00","+2.00","20,984",
"110/10/14","19,823,353","2,081,944,771","107.50","108.00","103.00","104.50","-2.50","12,269",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
