"110年10月 3706 神達             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","4,398,821","124,048,378","28.50","28.50","27.95","28.05","-0.60","2,263",
"110/10/04","4,186,864","116,437,080","28.15","28.20","27.60","27.70","-0.35","1,982",
"110/10/05","2,761,347","76,375,566","27.50","27.90","27.35","27.75","+0.05","1,415",
"110/10/06","1,687,666","46,862,412","27.90","27.90","27.70","27.70","-0.05","928",
"110/10/07","1,662,316","46,508,125","27.80","28.10","27.80","28.00","+0.30","890",
"110/10/08","1,951,716","54,923,405","28.15","28.30","28.00","28.10","+0.10","793",
"110/10/12","3,051,507","86,096,327","27.85","28.35","27.85","28.35","+0.25","1,233",
"110/10/13","1,704,855","47,939,493","28.40","28.40","27.95","28.00","-0.35","978",
"110/10/14","1,338,908","37,467,474","28.20","28.20","27.85","27.95","-0.05","680",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
