"110年10月 6166 凌華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","120,298","7,466,044","63.10","63.80","61.50","62.80","-0.60","106",
"110/10/04","106,591","6,574,369","63.30","63.30","61.00","62.30","-0.50","88",
"110/10/05","59,230","3,685,758","62.20","62.90","61.70","62.60","+0.30","70",
"110/10/06","67,200","4,181,520","61.60","62.60","61.60","62.10","-0.50","49",
"110/10/07","95,230","5,942,078","62.20","62.60","62.10","62.50","+0.40","61",
"110/10/08","83,100","5,183,070","61.60","62.70","61.60","62.70","+0.20","63",
"110/10/12","48,034","3,004,822","61.80","62.80","61.80","62.40","-0.30","37",
"110/10/13","73,122","4,597,072","62.30","63.20","62.30","63.10","+0.70","53",
"110/10/14","835,692","55,340,980","66.00","69.00","64.20","65.00","+1.90","710",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
