"110年10月 9912 偉聯             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","12,688","112,593","8.81","8.90","8.81","8.88","-0.12","35",
"110/10/04","72,665","649,406","8.90","9.07","8.68","9.00","+0.12","72",
"110/10/05","44,149","393,980","9.00","9.08","8.71","9.01","+0.01","42",
"110/10/06","12,009","107,633","8.98","9.00","8.88","8.98","-0.03","14",
"110/10/07","23,008","203,849","8.80","8.99","8.80","8.99","+0.01","22",
"110/10/08","8,662","78,288","9.06","9.06","9.00","9.00","+0.01","23",
"110/10/12","25,013","224,887","9.00","9.12","8.90","9.04","+0.04","20",
"110/10/13","36,006","320,014","8.80","9.00","8.80","9.00","-0.04","17",
"110/10/14","25,457","226,417","8.92","8.99","8.81","8.89","-0.11","32",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
