"110年10月 1201 味全             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,353,710","51,530,941","21.60","22.00","21.60","22.00","+0.10","913",
"110/10/04","7,650,575","171,852,313","21.90","23.00","21.90","23.00","+1.00","3,409",
"110/10/05","6,412,750","146,184,369","23.00","23.05","22.30","23.00"," 0.00","2,612",
"110/10/06","6,210,351","142,220,492","23.15","23.65","22.25","22.35","-0.65","2,857",
"110/10/07","5,780,458","131,343,719","22.50","22.95","22.50","22.80","+0.45","1,550",
"110/10/08","3,356,991","76,667,862","22.85","23.10","22.50","22.90","+0.10","1,612",
"110/10/12","4,569,786","105,565,029","23.05","23.30","22.80","23.15","+0.25","1,719",
"110/10/13","2,194,048","50,381,289","23.15","23.15","22.85","23.00","-0.15","879",
"110/10/14","3,606,799","83,538,466","23.10","23.35","23.00","23.05","+0.05","1,403",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
