"110年10月 1217 愛之味           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","2,080,887","21,738,685","10.60","10.65","10.30","10.30","-0.35","846",
"110/10/04","1,921,043","19,618,264","10.40","10.45","10.10","10.15","-0.15","848",
"110/10/05","2,706,550","27,260,580","10.05","10.25","9.96","10.20","+0.05","809",
"110/10/06","1,283,967","13,204,185","10.25","10.40","10.15","10.15","-0.05","549",
"110/10/07","1,028,034","10,609,131","10.25","10.40","10.20","10.35","+0.20","430",
"110/10/08","1,409,982","14,612,746","10.45","10.45","10.30","10.30","-0.05","538",
"110/10/12","1,026,182","10,497,596","10.35","10.35","10.15","10.20","-0.10","437",
"110/10/13","1,365,728","13,799,277","10.25","10.30","10.05","10.05","-0.15","590",
"110/10/14","682,558","6,909,371","10.10","10.20","10.05","10.10","+0.05","320",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
