"110年10月 1219 福壽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","510,657","10,189,128","20.30","20.30","19.80","19.85","-0.45","296",
"110/10/04","528,962","10,409,412","19.95","20.00","19.50","19.65","-0.20","279",
"110/10/05","366,509","7,153,779","19.65","19.65","19.40","19.65"," 0.00","186",
"110/10/06","349,547","6,842,995","19.60","19.80","19.45","19.70","+0.05","161",
"110/10/07","412,293","8,239,450","19.75","20.15","19.75","20.05","+0.35","206",
"110/10/08","431,517","8,697,411","20.10","20.30","20.00","20.25","+0.20","240",
"110/10/12","2,481,747","51,890,436","20.25","21.40","20.25","21.35","+1.10","1,357",
"110/10/13","2,482,005","53,384,502","21.65","21.90","21.10","21.55","+0.20","1,267",
"110/10/14","862,834","18,400,310","21.50","21.60","21.05","21.15","-0.40","495",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
