"110年10月 1231 聯華食           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/10/01","460,437","30,870,338","67.90","67.90","66.60","67.20","-0.80","1,105",
"110/10/04","354,645","23,506,124","67.10","67.10","65.70","66.20","-1.00","814",
"110/10/05","415,999","27,100,129","65.40","65.90","64.40","65.90","-0.30","891",
"110/10/06","146,574","9,705,758","66.00","66.50","65.90","66.00","+0.10","264",
"110/10/07","333,845","22,423,463","66.10","68.30","66.10","67.70","+1.70","445",
"110/10/08","154,881","10,529,994","68.00","68.50","67.80","67.90","+0.20","242",
"110/10/12","173,587","11,616,865","67.40","67.40","66.70","66.80","-1.10","474",
"110/10/13","211,845","14,100,728","66.90","67.00","66.20","66.50","-0.30","376",
"110/10/14","158,998","10,519,753","66.70","66.70","65.80","65.90","-0.60","427",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
